allele	category	ligand
HLA_C*01	HLA_C	C1
HLA_C*02	HLA_C	C2
HLA_C*03	HLA_C	C1
HLA_C*04	HLA_C	C2
HLA_C*05	HLA_C	C2
HLA_C*06	HLA_C	C2
HLA_C*07	HLA_C	C1
HLA_C*08	HLA_C	C1
HLA_C*12	HLA_C	C1
HLA_C*14	HLA_C	C1
HLA_C*15	HLA_C	C2
HLA_C*16	HLA_C	C1
HLA_C*17	HLA_C	C2
HLA_B*07	HLA_B	Bw6
HLA_B*08	HLA_B	Bw6
HLA_B*13	HLA_B	Bw4
HLA_B*15	HLA_B	Bw6
HLA_B*18	HLA_B	Bw6
HLA_B*27	HLA_B	Bw4
HLA_B*35	HLA_B	Bw6
HLA_B*37	HLA_B	Bw4
HLA_B*38	HLA_B	Bw4
HLA_B*40	HLA_B	Bw6
HLA_B*44	HLA_B	Bw4
HLA_B*45	HLA_B	Bw6
HLA_B*47	HLA_B	Bw4
HLA_B*49	HLA_B	Bw4
HLA_B*50	HLA_B	Bw6
HLA_B*51	HLA_B	Bw4
HLA_B*52	HLA_B	Bw4
HLA_B*53	HLA_B	Bw4
HLA_B*57	HLA_B	Bw4
HLA_B*58	HLA_B	Bw4
